source,titulo,titulo_interno,carpeta,formato,paginas,palabras,bytes,vectores,palabras_indexadas,error
01_MARCO TEORICO/01_MARCO TEORICO,MARCO TEORICO,CUMPLIMIENTO NORMATIVO EN SOSTENIBILIDAD Y TRABAJO DECENTE,01_MARCO TEORICO,pdf,258,122601,2668274,958,121377,
02_NORMATIVAS/00_Glosario operativo CSRD_CSDDD_NEIS,Glosario operativo CSRD CSDDD NEIS,"Glosario operativo para el chatbot: CSRD, CSDDD,",02_NORMATIVAS,pdf,11,2907,59405,37,2900,
02_NORMATIVAS/01_1_análisis cambios CSDDD,análisis cambios CSDDD,CSDDD — versión consolidada de trabajo | 28/05/2026,02_NORMATIVAS,pdf,7,2757,228337,33,2755,
02_NORMATIVAS/01_CSDDD,CSDDD,"asumen responsabilidad alguna por su contenido. Las versiones auténticas de los actos pertinentes, incluidos sus preámbulos,",02_NORMATIVAS,pdf,51,24062,540832,150,22989,
02_NORMATIVAS/02_1_análisis cambios CSRD,análisis cambios CSRD,CSRD - version consolidada de trabajo | 11/06/2026,02_NORMATIVAS,pdf,7,3298,227256,38,3298,
02_NORMATIVAS/02_CSDR,CSDR,"asumen responsabilidad alguna por su contenido. Las versiones auténticas de los actos pertinentes, incluidos sus preámbulos,",02_NORMATIVAS,pdf,58,27153,551537,155,26370,
02_NORMATIVAS/03_NEIS,NEIS,"asumen responsabilidad alguna por su contenido. Las versiones auténticas de los actos pertinentes, incluidos sus preámbulos,",02_NORMATIVAS,pdf,338,175070,3842621,1205,168328,
03_ESTANDARES/GUIAS OCDE/00_INDICE_CORPUS_OCDE_ES,INDICE CORPUS OCDE ES,Índice del corpus OCDE en español —,03_ESTANDARES/GUIAS OCDE,pdf,2,310,66530,3,310,
03_ESTANDARES/GUIAS OCDE/OCDE_00_Lineas_Directrices_EMN_2023_ES,OCDE 00 Lineas Directrices EMN 2023 ES,de/uni00A0la/uni00A0OCDE para Empresas,03_ESTANDARES/GUIAS OCDE,pdf,87,44502,3329909,354,44039,
03_ESTANDARES/GUIAS OCDE/OCDE_01_Guia_Debida_Diligencia_CER_2018_ES,OCDE 01 Guia Debida Diligencia CER 2018 ES,DE DEBIDA DILIGENCIA,03_ESTANDARES/GUIAS OCDE,pdf,108,40619,2815796,335,38216,
03_ESTANDARES/GUIAS OCDE/OCDE_02_Agricultura_OCDE_FAO_2017_ES,OCDE 02 Agricultura OCDE FAO 2017 ES,Guía OCDE‑FAO para las,03_ESTANDARES/GUIAS OCDE,pdf,88,39798,1695828,279,39473,
